geom,rrdistance,parid,luc_desc,taxdist_desc
0106000020BC08000001000000010300000001000000070000006012831072B62241601058A104203B4180C0CA61FBB52241C09F1A5F8B1F3B41E0A3708DA6B5224100295CAFA21F3B41403333D308B6224160E7FBD1F21F3B41C01E852B18B622412006811DEE1F3B41C0CAA12543B6224180C2F52811203B416012831072B62241601058A104203B41,29341.675259153457,8010578,Vacant Residential,DAYTONA BEACH
0106000020BC08000001000000010300000001000000070000002083C0FAA0B82241A0703DEA9E1F3B41E024062194B82241007F6ADC701F3B41E02631B888B72241400AD783831F3B41C0F3FD1493B7224120B29DA7A81F3B41A0C64B474DB82241205C8FAA9B1F3B41809318C44FB8224140E17A94A41F3B412083C0FAA0B82241A0703DEA9E1F3B41,29132.35101281487,8010584,Vacant Residential,DAYTONA BEACH
0106000020BC08000001000000010300000001000000070000008068918D72B8224140B4C886F81E3B4140DF4FAD6AB82241C0CCCC4CDC1E3B41205839445FB72241809318F4EE1E3B4120AE47A169B7224100000018141F3B4160BC74D323B8224100AAF11A071F3B4140B4C85621B82241E0240631FE1E3B418068918D72B8224140B4C886F81E3B41,29224.972914073114,8010588,Vacant Residential,DAYTONA BEACH
0106000020BC0800000100000001030000000100000006000000008195E3BAB52241C0C876CEA7213B41C0F3FDD4D6B42241E026316069213B4153ABB0BDBEB42241CCED1D3A7E213B41C0F753C3A4B42241E024068192213B41E0A7C66B7CB52241C0A1451EDB213B41008195E3BAB52241C0C876CEA7213B41,29246.093912489257,8010609,Vacant Residential,DAYTONA BEACH
0106000020BC080000010000000103000000010000000700000020B072A88CBF2241E02406B1781E3B4160E7FBF99DBF224180C0CAC1B61E3B41E04F8DD7ABBF2241600E2DCAB51E3B4140B6F34DBABF224120DBF99EE91E3B41400AD7A3FFBF224100FED4C8E41E3B41203108DCDFBF2241403333E3721E3B4120B072A88CBF2241E02406B1781E3B41,28363.330701960465,8010683,Vacant Residential,DAYTONA BEACH
0106000020BC0800000100000001030000000100000007000000A0C64B9718BF2241E04D62B8D81C3B41608FC24507BF2241E04F8DA79A1C3B41C0F7532315BF2241C09DEFAF991C3B41600E2DD20ABF2241200456B6741C3B41601283A0B7BE2241E0CEF7837A1C3B41A06E1243D3BE22416066668EDD1C3B41A0C64B9718BF2241E04D62B8D81C3B41,28694.599424686196,8010702,Vacant Residential,DAYTONA BEACH
0106000020BC08000001000000010300000001000000070000008016D91E80BC224160E3A51B141F3B41C0F5287C64BC224180E92611B11E3B41406210281FBC224100022BE7B51E3B41A099997930BC2241000000F8F31E3B412031089C22BC224120B29DEFF41E3B41A01A2FED2CBC2241C04B37E9191F3B418016D91E80BC224160E3A51B141F3B41,28746.065558430917,8010769,Vacant Residential,DAYTONA BEACH
0106000020BC080000010000000103000000010000000700000020B29DCFD8BB224100295C0F0C1C3B41208716B98DBB224180976EE2D91B3B41E051B8EE98BB22414060E5B0D51B3B41A06E12336CBB2241E0A59BCCB71B3B41C07268F128BB224120DD24F6D01B3B41008195C3A0BB224100295C07211C3B4120B29DCFD8BB224100295C0F0C1C3B41,29158.100218337855,8010804,Vacant Residential,DAYTONA BEACH
0106000020BC0800000100000001030000000100000007000000408941A040BB2241007F6A5C561E3B41002DB2FD24BB224160E7FB51F31D3B41806891CDD1BA2241A0ED7C1FF91D3B4120DBF91EE3BA224180EB5130371E3B41A0438BFCF0BA224100D7A338361E3B41002DB24DFBBA224100D34D325B1E3B41408941A040BB2241007F6A5C561E3B41,28972.52322559527,8010826,Vacant Residential,DAYTONA BEACH
0106000020BC080000010000000103000000010000000700000020B07238BBBA2241809318C4A21F3B4160BC7423A7BA2241806CE7CB5A1F3B410054E34599BA224160BC74C35B1F3B41806ABCF48EBA2241E022DBC9361F3B41A01A2F9D49BA2241A0C420A03B1F3B414033330368BA2241C0490C92A81F3B4120B07238BBBA2241809318C4A21F3B41,28887.766273981746,8010841,Vacant Residential,DAYTONA BEACH
0106000020BC0800000100000001030000000100000009000000803D0A677CB92241408B6CDFA11D3B41A018041672B92241608FC2E57C1D3B4120B0723864B92241804160DD7D1D3B41205A641B5FB92241A0703D8A6B1D3B41E078E9E652B92241E0A59BCC3F1D3B4160E5D0920DB92241205C8FA2441D3B41A0F1D23D18B92241200456DE6A1D3B418041603529B9224100560EADA71D3B41803D0A677CB92241408B6CDFA11D3B41,29254.534529028573,8010864,Vacant Residential,DAYTONA BEACH
0106000020BC080000010000000103000000010000000700000020DD24A61EB62241E04D62E03F1A3B41E0D022EBDEB52241806ABC6C2C1A3B41603BDF9FD7B52241C0A14566321A3B41608FC2A56CB52241E04F8DBF111A3B41C0CCCC2C48B52241A0C64B9F2F1A3B41C0490CE2F2B52241E0FBA9B9631A3B4120DD24A61EB62241E04D62E03F1A3B41,30018.204088634808,8010899,Vacant Residential,DAYTONA BEACH
